,school,teamname,year_of_pub,acceptance_rate,top10pct,alumni_giving_rate,top25pct,usnews_score,usnews_academic_rep_old,sat_act_25_75,avg_sat_act,usnews_academic_rep_new,year,team,unitid,vseteamname,alumni_ops_academic,alumni_ops_faculty,alumni_ops_research,alumni_ops_libraries,alumni_ops_physical_plant,alumni_ops_student_aid,alumni_ops_athletics,alumni_ops_other,alumni_ops_total,alumni_donation_rate,alumni_ugrad_donation_rate,alumni_ops_donation_rate,alumni_solicit_rate,alumni_giving_as_share_of_total,alumni_of_record,alumni_donors,alumni_total_giving,ops_athletics_donors,ops_athletics_total_ath,capital_athletics_donors,capital_athletics_total,athletics_donors,athletics_total,corporations_total_giving,expenditures_per_student,foundations_total_giving,foundations_ops_athletics,foundations_ops_total,corporations_ops_athletics,corporations_ops_total,ops_athletics_total_grand,ops_total,total_giving_2004_onwards,total_giving_pre_2004,alumni_ops_pub_serv,corporations_total,foundations_total,appdate,applicants_male,applicants_female,admits_male,admits_female,enrolled_male,enrolled_female,satdate,satnum,satpct,actnum,actpct,satvr25,satvr75,satmt25,satmt75,actcm25,actcm75,acten25,acten75,actmt25,actmt75,name,city,state,fips,control,iclevel,black,asian,hispanic,vse_alum_giving_rate,first_time_students_missing,first_time_students_total,first_time_outofstate,first_time_instate
1596,Rutgers- New Brunswick,Rutgers,2003.0,55.0,36.0,17.0,,52.0,,,,3.3,2001,129.0,186380.0,"Rutgers, The State University (New Brunswick, NJ)",1346920.0,525.0,50531.0,289882.0,,1659706.0,1036213.0,1989408.0,8055462.0,0.106,0.10800000000000001,0.08800000000000001,1.0,,281616.0,29742.0,30519642.0,4037.0,2224024.0,235.0,,,,21901808.0,22846.0,14913719.0,76317.0,13915645.0,277910.0,17643180.0,1762583.0,54262618.0,,86787237.0,1832.0,,,Fall 2001,12795.0,13883.0,6764.0,8000.0,2381.0,2671.0,Fall 2001,5018.0,99.0,,,520.0,630.0,630.0,670.0,,,,,,,RUTGERS UNIVERSITY-NEW BRUNSWICK,NEW BRUNSWICK,NJ,New Jersey,Public,4 or more years (Baccalaureate or higher degree),8.0,17.0,7.0,0.1056119,4993.0,5086.0,600.0,4486.0
1597,Rutgers - New Brunswick,Rutgers,2004.0,54.0,39.0,17.0,,53.0,,,,3.3,2002,129.0,186380.0,"Rutgers, The State University (New Brunswick, NJ)",1494614.0,375.0,41981.0,278873.0,400.0,810591.0,1246637.0,1699315.0,6955484.0,0.10300000000000001,0.10400000000000001,0.086,1.0,0.168,296148.0,30461.0,15220446.0,4079.0,2536885.0,370.0,685722.0,4449.0,3222607.0,38576017.0,24386.0,20304992.0,57710.0,17223481.0,336815.0,17381315.0,2078663.0,53273516.0,90350625.0,92782578.0,1075.0,,,Fall 2001,13304.0,14007.0,6922.0,7935.0,2200.0,2479.0,Fall 2001,4651.0,99.0,,,530.0,630.0,550.0,670.0,,,,,,,RUTGERS UNIVERSITY-NEW BRUNSWICK,NEW BRUNSWICK,NJ,New Jersey,Public,4 or more years (Baccalaureate or higher degree),,,,0.10285736,4648.0,4717.0,501.0,4216.0
1598,Rutgers-New Brunswick,Rutgers,2005.0,61.0,39.0,16.0,,53.0,,,,3.3,2003,129.0,186380.0,"Rutgers, The State University (New Brunswick, NJ)",1490217.0,190.0,61253.0,359867.0,655780.0,906153.0,1242402.0,2656338.0,9137873.0,0.099,0.099,0.084,1.0,0.23199999999999998,316816.0,31339.0,16669001.0,4175.0,3240134.0,293.0,1292216.0,4468.0,4532350.0,22514439.0,22690.0,20010795.0,115350.0,18262811.0,351802.0,16863355.0,2175358.0,54179899.0,71994591.0,73540861.0,1245.0,,,Fall 2001,12127.0,12307.0,7169.0,7792.0,2385.0,2432.0,Fall 2001,4779.0,99.0,,,530.0,640.0,550.0,670.0,,,,,,,RUTGERS UNIVERSITY-NEW BRUNSWICK,NEW BRUNSWICK,NJ,New Jersey,Public,4 or more years (Baccalaureate or higher degree),,,,0.09891862,4773.0,4847.0,541.0,4306.0
1599,Rutgers--New Brunswick(NJ),Rutgers,2006.0,,,,,53.0,,,,3.4,2004,129.0,186380.0,"Rutgers, The State University (New Brunswick, NJ)",1400866.0,308.0,234733.0,328750.0,106425.0,832020.0,1271920.0,1325694.0,6951639.0,0.094,0.094,0.078,1.0,0.23,322155.0,30220.0,16943438.0,3875.0,2559576.0,275.0,1107732.0,4150.0,3667308.0,19611420.0,24182.0,24802321.0,16810.0,21741956.0,307673.0,16997272.0,2114380.0,54604860.0,73690272.0,74028567.0,1693.0,,,Fall 2001,12644.0,12818.0,7533.0,7904.0,2510.0,2611.0,Fall 2001,5070.0,99.0,,,530.0,630.0,560.0,670.0,,,,,,,Rutgers University-New Brunswick/Piscataway,New Brunswick,NJ,New Jersey,Public,4 or more years (Baccalaureate or higher degree),,,,0.093805775,5172.0,5245.0,577.0,4668.0
1600,"Rutgers, the State University of New Jersey--New Brunswick(NJ)*",Rutgers,2007.0,58.0,41.0,15.0,,51.0,,,,3.4,2005,129.0,186380.0,"Rutgers, The State University (New Brunswick, NJ)",1473286.0,125.0,186727.0,354585.0,115000.0,796851.0,2746476.0,2213971.0,9190537.0,0.09,0.09,0.07400000000000001,1.0,0.28,326998.0,29441.0,21827267.0,4343.0,3810583.0,268.0,1984081.0,4611.0,5794664.0,17485554.0,24442.0,22120047.0,525300.0,20035447.0,333940.0,14700289.0,4226266.0,55870064.0,77873137.0,78544147.0,700.0,,,Fall 2001,13788.0,13772.0,7793.0,8256.0,2597.0,2489.0,Fall 2001,5060.0,99.0,,,520.0,630.0,560.0,680.0,,,,,,,Rutgers University-New Brunswick/Piscataway,New Brunswick,NJ,New Jersey,Public,4 or more years (Baccalaureate or higher degree),,,,0.09003419,5172.0,5274.0,533.0,4741.0
1601,"Rutgers, St. U. of N.J.--N.Brun.* ",Rutgers,2008.0,56.0,40.0,15.0,,48.0,,,,3.3,2006,129.0,186380.0,"Rutgers, The State University (New Brunswick, NJ)",1472106.0,200.0,84221.0,234105.0,75000.0,998015.0,1759434.0,4437160.0,10425400.0,0.098,0.098,0.08199999999999999,1.0,0.242,333089.0,32670.0,24852809.0,6124.0,5724021.0,230.0,1563572.0,6354.0,7287593.0,18801860.0,26578.0,28396046.0,508100.0,24597791.0,381880.0,16826254.0,3194264.0,67839990.0,102716690.0,103021807.0,840.0,,,Fall 2001,14256.0,13952.0,7966.0,7911.0,2857.0,2656.0,Fall 2001,5444.0,99.0,0.0,,520.0,630.0,550.0,670.0,,,,,,,Rutgers University-New Brunswick,New Brunswick,NJ,New Jersey,Public,4 or more years (Baccalaureate or higher degree),,,,0.098081894,5447.0,5519.0,589.0,4930.0
1602,"Rutgers, St. U. of N.J.--N.Brun.* ",Rutgers,2009.0,56.0,38.0,15.0,,49.0,,,,3.3,2007,129.0,186380.0,"Rutgers, The State University (New Brunswick, NJ)",3929611.0,9285.0,116658.0,302033.0,12250.0,1086553.0,3061661.0,,12484489.0,0.09,0.09,0.079,1.0,0.336,341023.0,30820.0,32808436.0,5627.0,5230022.0,344.0,1893470.0,5971.0,7123492.0,17987010.0,29436.0,25863569.0,191026.0,20297605.0,508478.0,15883141.0,4871176.0,65263570.0,97752873.0,98432627.0,25335.0,,,Fall 2001,14678.0,14869.0,8187.0,8291.0,2890.0,2859.0,Fall 2001,5736.0,98.0,0.0,0.0,520.0,630.0,550.0,670.0,,,,,,,Rutgers University-New Brunswick,New Brunswick,NJ,New Jersey,Public,4 or more years (Baccalaureate or higher degree),,,,0.09037513,5758.0,5840.0,643.0,5197.0
1603,,Rutgers,,,,,,,,,,,2008,129.0,186380.0,"Rutgers, The State University (New Brunswick, NJ)",1892417.0,6555.0,152465.0,218044.0,5790.0,1240677.0,2227134.0,1311022.0,8871420.0,0.083,0.083,0.07200000000000001,1.0,0.244,345132.0,28753.0,27313263.0,5396.0,4642947.0,776.0,6508816.0,6172.0,11151763.0,21457684.0,30017.0,43641905.0,222400.0,28626495.0,457136.0,15939367.0,3845035.0,67520542.0,112081703.0,113589656.0,13210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08331016,,,,
1604,San Diego State U.,San Diego State,1989.0,73.0,,,,,,,,,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,California,Public,4 or more years (Baccalaureate or higher degree),,,,,,4203.0,444.0,3759.0
1605,,San Diego State,,,,,,,,,,,1989,132.0,122409.0,"California State Univ., San Diego (San Diego, CA)",,,,,,,,,,,,,0.5805200595603638,,118871.0,7324.0,908578.0,,,,,,,2371758.0,,632699.0,,,,,,,,10803528.0,,2371758.0,632699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06161301,,,,
1606,,San Diego State,,,,,,,,,,,1990,132.0,122409.0,"California State Univ., San Diego (San Diego, CA)",,,,,,,,,,,,,0.6713759421367492,,118348.0,8137.0,1225624.0,,,,,,,2594963.0,,2897998.0,,,,,,,,13887998.0,,2594963.0,2897998.0,,,,,,,,,,,,,,,,,,,,,,,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,California,Public,4 or more years (Baccalaureate or higher degree),,,,0.06875486,,,,
1607,,San Diego State,,,,,,,,,,,1991,132.0,122409.0,"California State Univ., San Diego (San Diego, CA)",,,,,,,,,,,,,0.6847887575550065,,134348.0,9112.0,1116665.0,,,,,,,2985334.0,,1752768.0,,,,,,,,14758327.0,,2985334.0,1752768.0,,,,,,,,,,,,,,,,,,,,,,,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,California,Public,4 or more years (Baccalaureate or higher degree),,,,0.06782386,,2194.0,350.0,1844.0
1608,San Diego State University,San Diego State,1994.0,75.0,20.0,7.0,,,151.0,,851,,1992,132.0,122409.0,"California State Univ., San Diego (San Diego, CA)",,,,,,,,,,,,,1.0,,93726.0,9717.0,1023191.0,,,,,,,2141970.0,,2519366.0,,,,,,,,15564727.0,,2141970.0,2519366.0,,,,,,,,,,,,,,,,,,,,,,,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,California,Public,4 or more years (Baccalaureate or higher degree),,,,0.10367454,,,,
1609,San Diego State U.,San Diego State,1996.0,85.0,20.0,8.0,,,,830-1060,,,1994,132.0,122409.0,"California State Univ., San Diego (San Diego, CA)",,,,,,,,,,,,,,,105000.0,8773.0,1489000.0,,,,,,,1876000.0,,2474000.0,,,,,,,,17340000.0,,1876000.0,2474000.0,,,,,,,,,,,,,,,,,,,,,,,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,California,Public,4 or more years (Baccalaureate or higher degree),5.0,13.0,17.0,0.08355238,,,,
1610,San Diego State Univ,San Diego State,1997.0,82.0,,7.0,,,,,,,1995,132.0,122409.0,"California State Univ., San Diego (San Diego, CA)",,,,,,,,,,,,,,,110361.0,7135.0,998000.0,,,,,,,12345000.0,,2693000.0,,,,,,,,28549000.0,,12345000.0,2693000.0,,,,,,,,,,,,,,,,,,,,,,,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,California,Public,4 or more years (Baccalaureate or higher degree),5.0,13.0,18.0,0.06465146,,3256.0,70.0,3186.0
1611,San Diego State Univ,San Diego State,1998.0,80.0,,7.0,,,,850-1070,,2.6,1996,132.0,122409.0,"California State Univ., San Diego (San Diego, CA)",,,,,,,,,,,,,0.014467383284385352,,207363.0,8852.0,1595000.0,,,,,,,3976000.0,,3432000.0,,,,,,,,23174000.0,,3976000.0,3432000.0,,,,,,,,,,,,,,,,,,,,,,,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,California,Public,4 or more years (Baccalaureate or higher degree),5.0,14.0,20.0,0.042688426,,,,
1612,San Diego State Univ,San Diego State,1999.0,77.0,,7.0,,,,,,2.7,1997,132.0,122409.0,"California State Univ., San Diego (San Diego, CA)",,,,,,,,,,,,,0.4620794683649453,,144460.0,7878.0,1361000.0,,,,,,,8278000.0,,2735000.0,,,,,,,,29749000.0,,8278000.0,2735000.0,,,,,,,,,,,,,,,,,,,,,,,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,California,Public,4 or more years (Baccalaureate or higher degree),5.0,14.0,20.0,0.054534126,,4133.0,129.0,4004.0
1613,San Diego State University,San Diego State,2000.0,60.0,,5.0,,,,920-1140,,,1998,132.0,122409.0,"California State Univ., San Diego (San Diego, CA)",413635.0,891.0,1418.0,23549.0,650.0,33734.0,20956.0,98258.0,641560.0,0.05,0.05,0.049,0.648,,171345.0,8641.0,1052300.0,2704.0,1816460.0,9.0,,2713.0,,5103040.0,12804.0,4092000.0,17900.0,3816390.0,752406.0,4381680.0,1816460.0,20168200.0,,32255900.0,1070.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050430417,,,,
1614,San Diego State U.,San Diego State,2001.0,65.0,,5.0,,,,,,2.8,1999,132.0,122409.0,"California State Univ., San Diego (San Diego, CA)",401227.0,660.0,2268.0,17937.0,,59052.0,138947.0,172151.0,828339.0,0.043,0.047,0.040999999999999995,0.374,,144635.0,6223.0,1160700.0,5160.0,2531060.0,5.0,,5165.0,,7408780.0,13295.0,5662420.0,25000.0,5314180.0,724005.0,7171300.0,1767310.0,24510200.0,,39634800.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,California,Public,4 or more years (Baccalaureate or higher degree),4.0,13.0,20.0,0.043025546,0.0,3650.0,185.0,3465.0
1615,San Diego State U.,San Diego State,2002.0,63.0,,4.0,,,,,,2.8,2000,132.0,122409.0,"California State Univ., San Diego (San Diego, CA)",408771.0,970.0,2533.0,61319.0,25.0,206796.0,532126.0,154547.0,1401021.0,0.038,0.037000000000000005,0.037000000000000005,0.331,,157772.0,5971.0,5068643.0,3020.0,2018888.0,10.0,,,,11853524.0,14976.0,7533288.0,37065.0,6712868.0,734308.0,10585642.0,2006075.0,31519867.0,,42097267.0,715.0,,,Fall 2000,9089.0,12521.0,5290.0,7959.0,1121.0,1599.0,Fall 2000,3561.0,98.0,,,460.0,560.0,480.0,590.0,,,,,,,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,California,Public,4 or more years (Baccalaureate or higher degree),4.0,13.0,20.0,0.037845753,,4260.0,213.0,4047.0
1616,,San Diego State,,,,,,,,,,,2001,132.0,122409.0,"California State Univ., San Diego (San Diego, CA)",607046.0,,1408.0,80020.0,10000.0,95493.0,836129.0,278159.0,1917650.0,0.04,0.04,0.039,0.37,,157868.0,6288.0,2547328.0,3090.0,2923661.0,2.0,,,,11338779.0,14054.0,19191478.0,151132.0,18187676.0,978369.0,10448935.0,2920189.0,42236969.0,,52706465.0,925.0,,,Fall 2000,10423.0,14806.0,6239.0,9705.0,1352.0,1986.0,Fall 2000,4138.0,97.0,,,460.0,560.0,480.0,580.0,,,,,,,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,California,Public,4 or more years (Baccalaureate or higher degree),4.0,14.0,20.0,0.039830744,4089.0,4107.0,247.0,3860.0
1617,San Diego State U.,San Diego State,2004.0,50.0,,4.0,,,,,,2.8,2002,132.0,122409.0,"California State Univ., San Diego (San Diego, CA)",503765.0,7640.0,100.0,26053.0,66415.0,133006.0,950943.0,102988.0,1830137.0,0.045,0.045,0.045,0.6409999999999999,0.051,155458.0,7066.0,2201800.0,3100.0,3338785.0,4.0,32789.0,3104.0,3371574.0,11970012.0,14618.0,13453707.0,59000.0,12658529.0,1020150.0,10857347.0,3338785.0,40036140.0,42949868.0,43372743.0,50.0,,,Fall 2000,12085.0,17129.0,6091.0,9680.0,1445.0,2218.0,Fall 2000,3998.0,97.0,,,470.0,570.0,490.0,590.0,,,,,,,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,California,Public,4 or more years (Baccalaureate or higher degree),,,,0.045452792,3702.0,3719.0,224.0,3495.0
1618,San Diego State .,San Diego State,2005.0,47.0,,4.0,,,,,,2.7,2003,132.0,122409.0,"California State Univ., San Diego (San Diego, CA)",744953.0,1165.0,,28169.0,2100.0,41722.0,796406.0,81648.0,1783407.0,0.042,0.042,0.042,0.41600000000000004,0.061,155440.0,6590.0,3026442.0,2839.0,2630104.0,3.0,16100.0,2842.0,2646204.0,15007314.0,14956.0,6176599.0,24500.0,5473377.0,877420.0,9980885.0,2642739.0,36872663.0,49452110.0,50024618.0,,,,Fall 2000,11972.0,17156.0,5390.0,9062.0,1312.0,2106.0,Fall 2000,3600.0,96.0,,,480.0,580.0,490.0,600.0,,,,,,,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,California,Public,4 or more years (Baccalaureate or higher degree),,,,0.042395778,4098.0,4112.0,206.0,3906.0
1619,San Diego State U.,San Diego State,2006.0,44.0,,4.0,,,,,,2.8,2004,132.0,122409.0,"California State Univ., San Diego (San Diego, CA)",929775.0,170.0,150.0,108346.0,70.0,65254.0,1039655.0,215414.0,2387284.0,0.039,0.044000000000000004,0.038,0.354,0.066,186139.0,7203.0,3103979.0,3136.0,2824150.0,1.0,8000.0,3137.0,2832150.0,14340230.0,15230.0,11363696.0,98525.0,10795089.0,471117.0,12046008.0,2824150.0,42627577.0,47360032.0,49156832.0,,,,Fall 2000,13689.0,19645.0,6112.0,9719.0,1400.0,2128.0,Fall 2000,4011.0,96.0,1422.0,34.0,480.0,580.0,500.0,600.0,20.0,25.0,19.0,25.0,20.0,26.0,San Diego State University,San Diego,CA,California,Public,4 or more years (Baccalaureate or higher degree),,,,0.03869689,4055.0,4069.0,198.0,3871.0
1620,San Diego State U.,San Diego State,2007.0,48.0,,4.0,,,,,,2.8,2005,132.0,122409.0,"California State Univ., San Diego (San Diego, CA)",755830.0,20160.0,5150.0,67779.0,50.0,79100.0,1123051.0,187251.0,2270542.0,0.04,0.044000000000000004,0.039,0.451,0.08900000000000001,186397.0,7392.0,3979886.0,2820.0,2949494.0,7.0,543125.0,2827.0,3492619.0,10752784.0,16098.0,11533963.0,70500.0,10103321.0,493313.0,8433945.0,2949494.0,35208770.0,44883844.0,48940809.0,,,,Fall 2000,15499.0,22050.0,6400.0,10084.0,1400.0,2039.0,Fall 2000,3945.0,96.0,1413.0,34.0,480.0,580.0,500.0,600.0,20.0,25.0,19.0,25.0,20.0,26.0,San Diego State University,San Diego,CA,California,Public,4 or more years (Baccalaureate or higher degree),,,,0.03965729,5075.0,5098.0,262.0,4836.0
1621,San Diego State U.,San Diego State,2008.0,44.0,,4.0,,,,,,2.7,2006,132.0,122409.0,"California State Univ., San Diego (San Diego, CA)",673818.0,18345.0,5150.0,33658.0,75.0,69331.0,948617.0,191834.0,1976907.0,0.042,0.045,0.040999999999999995,0.376,0.062,184105.0,7683.0,2905670.0,2567.0,2676821.0,13.0,39444.0,2580.0,2716265.0,11641433.0,16167.0,13314229.0,46700.0,12206958.0,418932.0,9092849.0,2676821.0,37771860.0,46758175.0,49618328.0,,,,Fall 2000,17363.0,24690.0,7169.0,11312.0,1651.0,2458.0,Fall 2000,4972.0,97.0,1683.0,33.0,460.0,570.0,480.0,590.0,19.0,24.0,18.0,25.0,19.0,25.0,San Diego State University,San Diego,CA,California,Public,4 or more years (Baccalaureate or higher degree),,,,0.041731622,5510.0,5559.0,378.0,5181.0
1622,,San Diego State,,,,,,,,,,,2007,132.0,122409.0,"California State Univ., San Diego (San Diego, CA)",683063.0,5230.0,,25123.0,75.0,106327.0,967390.0,,2146271.0,0.034,0.037000000000000005,0.033,0.27,0.14300000000000002,196772.0,6621.0,9131948.0,2255.0,2217043.0,15.0,940130.0,2270.0,3157173.0,11077053.0,15339.0,24185258.0,50135.0,13863570.0,193332.0,9283327.0,2190524.0,40698255.0,63671002.0,65147988.0,,,,Fall 2000,19578.0,27140.0,8136.0,12492.0,1821.0,2685.0,Fall 2000,5369.0,97.0,2065.0,37.0,460.0,570.0,480.0,590.0,20.0,25.0,19.0,25.0,19.0,25.0,San Diego State University,San Diego,CA,California,Public,4 or more years (Baccalaureate or higher degree),,,,0.03364808,4281.0,4339.0,375.0,3964.0
1623,,San Diego State,,,,,,,,,,,2008,132.0,122409.0,"California State Univ., San Diego (San Diego, CA)",597367.0,45345.0,100300.0,277418.0,50.0,74227.0,1667128.0,281505.0,3069151.0,0.024,0.025,0.024,0.486,0.215,243387.0,5838.0,10559680.0,2347.0,3260618.0,5.0,3600.0,2352.0,3264218.0,6063086.0,16270.0,13845954.0,124925.0,12458267.0,463776.0,5566736.0,3260618.0,37369821.0,49174846.0,50028226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02398649,,,,
1624,,San Jose State,,,,,,,,,,,1989,43.0,122755.0,"San Jose State University (San Jose, CA)",,,,,,,,,,,,,0.05768735513778007,,77660.0,2677.0,297232.0,,,,,,,3275332.0,,177291.0,,,,,,,,5277748.0,,3275332.0,177291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03447077,,,,
1625,,San Jose State,,,,,,,,,,,1990,43.0,122755.0,"San Jose State University (San Jose, CA)",,,,,,,,,,,,,0.10795454545454546,,88000.0,4279.0,469225.0,,,,,,,1633615.0,,229571.0,,,,,,,,3947498.0,,1633615.0,229571.0,,,,,,,,,,,,,,,,,,,,,,,SAN JOSE STATE UNIVERSITY,SAN JOSE,CA,California,Public,4 or more years (Baccalaureate or higher degree),,,,0.048625,,,,
1626,,San Jose State,,,,,,,,,,,1991,43.0,122755.0,"San Jose State University (San Jose, CA)",,,,,,,,,,,,,0.3302584272192991,,133229.0,12971.0,926525.0,,,,,,,2194967.0,,68934.0,,,,,,,,4665679.0,,2194967.0,68934.0,,,,,,,,,,,,,,,,,,,,,,,SAN JOSE STATE UNIVERSITY,SAN JOSE,CA,California,Public,4 or more years (Baccalaureate or higher degree),,,,0.09735868,,1543.0,449.0,1094.0
1627,,San Jose State,,,,,,,,,,,1992,43.0,122755.0,"San Jose State University (San Jose, CA)",,,,,,,,,,,,,,,95000.0,5632.0,2425929.0,,,,,,,3524201.0,,742976.0,,,,,,,,8183741.0,,3524201.0,742976.0,,,,,,,,,,,,,,,,,,,,,,,SAN JOSE STATE UNIVERSITY,SAN JOSE,CA,California,Public,4 or more years (Baccalaureate or higher degree),,,,0.05928421,,,,
1628,,San Jose State,,,,,,,,,,,1994,43.0,122755.0,"San Jose State University (San Jose, CA)",,,,,,,,,,,,,0.8367346938775511,,98000.0,10582.0,1596000.0,,,,,,,3063000.0,,1689000.0,,,,,,,,7061000.0,,3063000.0,1689000.0,,,,,,,,,,,,,,,,,,,,,,,SAN JOSE STATE UNIVERSITY,SAN JOSE,CA,California,Public,4 or more years (Baccalaureate or higher degree),4.0,28.0,12.0,0.10797959,,,,
1629,,San Jose State,,,,,,,,,,,1995,43.0,122755.0,"San Jose State University (San Jose, CA)",,,,,,,,,,,,,0.860438823800138,,99949.0,5763.0,4644000.0,,,,,,,1483000.0,,542000.0,,,,,,,,7591000.0,,1483000.0,542000.0,,,,,,,,,,,,,,,,,,,,,,,SAN JOSE STATE UNIVERSITY,SAN JOSE,CA,California,Public,4 or more years (Baccalaureate or higher degree),5.0,29.0,13.0,0.057659406,,1696.0,480.0,1216.0
1630,,San Jose State,,,,,,,,,,,1996,43.0,122755.0,"San Jose State University (San Jose, CA)",,,,,,,,,,,,,0.6714195749640477,,106391.0,7390.0,4429000.0,,,,,,,4507000.0,,1463000.0,,,,,,,,11899000.0,,4507000.0,1463000.0,,,,,,,,,,,,,,,,,,,,,,,SAN JOSE STATE UNIVERSITY,SAN JOSE,CA,California,Public,4 or more years (Baccalaureate or higher degree),5.0,30.0,14.0,0.069460765,,,,
1631,,San Jose State,,,,,,,,,,,1997,43.0,122755.0,"San Jose State University (San Jose, CA)",,,,,,,,,,,,,0.5567515403459283,,134710.0,7540.0,7678000.0,,,,,,,4822000.0,,2963000.0,,,,,,,,17942000.0,,4822000.0,2963000.0,,,,,,,,,,,,,,,,,,,,,,,SAN JOSE STATE UNIVERSITY,SAN JOSE,CA,California,Public,4 or more years (Baccalaureate or higher degree),5.0,32.0,14.0,0.055972088,,2096.0,66.0,2030.0
1632,,San Jose State,,,,,,,,,,,1998,43.0,122755.0,"San Jose State University (San Jose, CA)",1100.0,200.0,750.0,1745.0,,200961.0,329916.0,232782.0,958448.0,0.048,,0.09,0.613,,122444.0,5848.0,6006200.0,2674.0,1138200.0,84.0,,2758.0,,2637230.0,8684.0,4066960.0,120545.0,1074840.0,195982.0,1381340.0,1041720.0,4539280.0,,15738000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04776061,,,,
1633,,San Jose State,,,,,,,,,,,1999,43.0,122755.0,"San Jose State University (San Jose, CA)",2125.0,2000.0,,2370.0,,285731.0,315876.0,207387.0,1026460.0,0.04,,0.011000000000000001,0.48100000000000004,,124825.0,4941.0,4888940.0,1954.0,1047880.0,8.0,,1962.0,,3177190.0,11662.0,3602740.0,133430.0,1798780.0,365424.0,1743150.0,1486760.0,6408090.0,,14113300.0,,,,,,,,,,,,,,,,,,,,,,,,,,SAN JOSE STATE UNIVERSITY,SAN JOSE,CA,California,Public,4 or more years (Baccalaureate or higher degree),4.0,35.0,14.0,0.03958342,0.0,2583.0,75.0,2508.0
1634,,San Jose State,,,,,,,,,,,2000,43.0,122755.0,"San Jose State University (San Jose, CA)",300.0,,,4165.0,,83835.0,523036.0,273933.0,1003765.0,0.031,0.027999999999999997,0.03,0.166,,137318.0,4250.0,1585748.0,2356.0,2034859.0,116.0,,,,6217596.0,11216.0,1675373.0,147068.0,937398.0,959267.0,3649810.0,2125328.0,6709554.0,,11768556.0,,,,Fall 2000,5894.0,5551.0,4138.0,4077.0,1279.0,1101.0,Fall 2000,2229.0,86.0,,,410.0,540.0,450.0,590.0,,,,,,,SAN JOSE STATE UNIVERSITY,SAN JOSE,CA,California,Public,4 or more years (Baccalaureate or higher degree),4.0,35.0,14.0,0.030950058,,2773.0,77.0,2696.0
1635,,San Jose State,,,,,,,,,,,2001,43.0,122755.0,"San Jose State University (San Jose, CA)",1075.0,,500.0,4908.0,,45195.0,365398.0,243788.0,739625.0,0.02,0.02,0.019,0.085,,180494.0,3576.0,1376444.0,2569.0,1559112.0,53.0,,,,4529031.0,10827.0,2326995.0,293695.0,1778745.0,498140.0,2940194.0,1591900.0,7003403.0,,10990480.0,,,,Fall 2000,6756.0,6476.0,4837.0,4772.0,1374.0,1203.0,Fall 2000,2479.0,89.0,,,410.0,530.0,450.0,580.0,,,,,,,SAN JOSE STATE UNIVERSITY,SAN JOSE,CA,California,Public,4 or more years (Baccalaureate or higher degree),4.0,34.0,14.0,0.019812293,2689.0,2725.0,75.0,2650.0
1636,,San Jose State,,,,,,,,,,,2002,43.0,122755.0,"San Jose State University (San Jose, CA)",923.0,,,4180.0,,79073.0,434750.0,589809.0,1151367.0,0.026000000000000002,0.025,0.026000000000000002,0.11699999999999999,0.185,146255.0,3868.0,1986091.0,2459.0,1240846.0,3.0,6506.0,2462.0,1247352.0,3658036.0,10001.0,1651218.0,86016.0,896476.0,433124.0,2757156.0,1334264.0,5801435.0,10727974.0,10855527.0,,,,Fall 2000,6816.0,6637.0,4853.0,4816.0,1403.0,1128.0,Fall 2000,2386.0,88.0,,,410.0,530.0,450.0,570.0,,,,,,,SAN JOSE STATE UNIVERSITY,SAN JOSE,CA,California,Public,4 or more years (Baccalaureate or higher degree),,,,0.026446959,1970.0,1980.0,18.0,1962.0
